"filename","failed_anlysis","CHATTY_SERVICE","CYCLIC_DEPENDENCY","DATA_SERVICE","DEAD_COMPONENT","DENSE_STRUCTURE","MESSAGE_CHAIN","SHARED_PERSISTENCY","STRICT_LAYER_VIOLATION","DUPLICATION","HUB_LIKE_MODULARIZATION","WEAKEND_MODULARITY","DOCUMENTATION","LAZY_COMPONENT","CHATTY_SERVICE_ns","CYCLIC_DEPENDENCY_ns","DATA_SERVICE_ns","DEAD_COMPONENT_ns","DENSE_STRUCTURE_ns","MESSAGE_CHAIN_ns","SHARED_PERSISTENCY_ns","STRICT_LAYER_VIOLATION_ns","DUPLICATION_ns","HUB_LIKE_MODULARIZATION_ns","WEAKEND_MODULARITY_ns","DOCUMENTATION_ns","LAZY_COMPONENT_ns","nodes","edges","file_size_bytes"
"analysis patterns overview_transformed.graphml","0","0","0","0","1","0","0","0","0","0","0","0","0","0","10474300","10505200","10409300","10389400","10313300","10297900","10245200","10917500","19985300","10321700","10250200","10276900","10301500","12","0","18119"
"Andromeda Games_transformed.graphml","0","0","1","0","1","0","0","0","1","1","0","1","1","0","10464600","10706500","10687300","10602700","10376900","10399000","10468400","10604700","45023700","2045155800","2449487100","10399300","10344300","311","246","761032"
"App Store_transformed.graphml","0","0","1","0","0","1","0","0","0","1","0","0","0","0","10186900","10164600","10179900","10035200","10006800","10230600","10217200","10160600","19886600","10229200","10301600","10115100","10190100","10","13","31803"
"application-collaboration_transformed.graphml","0","0","0","0","0","1","0","0","0","1","0","0","0","0","10440300","10213900","10112700","10117400","10066300","10207500","10196800","10096700","19810600","93495800","94621300","10917500","10655000","7","7","20653"
"Archi StyledHtml module_transformed.graphml","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10429100","10268300","10159200","10182800","10829800","10073800","10062600","10020900","19478400","10166500","10196000","10230600","10138700","0","0","1329"
"Archimate recipes_transformed.graphml","0","0","0","0","1","0","0","0","0","1","0","1","0","1","10239400","10225700","10195200","10510900","10242200","10151700","10158200","10085700","39346700","830185100","953473400","10284700","10141900","101","84","254004"
"ArchiMate template_transformed.graphml","0","0","0","1","0","1","0","1","0","0","0","1","0","0","10129400","10079900","10121600","10010500","10049300","10085300","10247300","10057900","20271100","263312900","273982700","10437400","10898600","20","26","61633"
"Archimate-kurs del 1_transformed.graphml","0","0","0","0","1","0","0","0","0","1","0","1","0","0","10334200","10417500","10446500","10200200","10161200","10113600","12758500","10027300","19697700","150983200","179196000","10103300","10001300","25","17","58968"
"archimate_architecture_model_transformed.graphml","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10082300","10026600","9997400","9989000","10087000","10130500","10085000","10029600","19658800","10668000","10308100","10231400","11433000","0","0","1329"
"Archisurance Senario 2_transformed.graphml","0","0","1","0","1","1","0","0","0","1","1","1","0","0","10646400","10774700","10668700","11228700","10599300","10348200","10325000","10233800","26089200","908503800","1034769200","10223400","10234700","132","135","352102"
"Archisurance_transformed.graphml","0","0","1","0","1","1","0","0","0","1","1","1","0","0","10397100","10663100","10391200","10484200","10274400","10240300","10308500","10663100","23181100","735714400","746615800","10258300","10211900","155","155","405196"
"Architecture Model_transformed.graphml","0","0","0","0","1","0","0","0","0","1","1","1","1","0","10414800","10514000","26030000","14942500","10262000","10357300","10600500","10480700","35399000","835212000","1126292600","10997900","10557000","270","129","561662"
"architecture scenario_transformed.graphml","0","0","0","0","0","1","0","0","0","1","0","0","0","0","10230300","10263000","10339000","10397700","10369200","10273100","10227300","10211000","19950400","10313700","10273700","10202600","10236900","11","11","31290"
"architecture_transformed.graphml","0","0","0","0","0","1","0","0","0","0","0","0","0","0","10475800","10216400","10331200","10219300","10380700","10257300","10341400","10237200","19806900","10358500","10420900","10251800","10204600","3","3","9836"
"Archivatrion_transformed.graphml","0","0","0","0","0","0","0","0","0","1","0","0","0","0","10267000","10228300","10185800","10177200","10191100","10074500","10057200","10183800","19939000","114175500","219482700","10296000","10288200","14","10","33225"
"Archi_Sample2_transformed.graphml","0","0","0","0","1","0","0","0","0","1","0","0","0","0","10254500","10148800","10376400","10313100","10151000","10071000","10084600","10065800","20127200","10337000","10196900","10104200","10118200","12","2","20693"
"Archi_Sample_transformed.graphml","0","0","0","0","1","0","0","0","0","1","0","0","0","0","10151700","10014500","10138500","10076700","10332200","10394600","10315700","10124800","19857000","10386200","10046000","10032900","10373900","12","2","20693"
"ArquitecturaAU_transformed.graphml","0","0","0","0","1","0","0","1","0","1","0","1","0","0","10385200","10273200","10270300","10382200","10569600","10355900","10479500","10094200","22981900","599091400","724527200","10237700","10104300","61","41","140838"
"arquitectura_transformed.graphml","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10087900","10152100","10150800","10046200","10059100","10091000","10088000","10163500","19772300","10271800","10187800","10076600","10187800","0","0","1329"
"ArquiteturaModular_transformed.graphml","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10369300","10023600","10164400","13197100","10223300","10186400","10198600","10080200","19502900","10133900","10230000","10038800","10016600","0","0","1329"
