"filename","failed_anlysis","CHATTY_SERVICE","CHATTY_SERVICE_imp","CYCLIC_DEPENDENCY","CYCLIC_DEPENDENCY_imp","DATA_SERVICE","DATA_SERVICE_imp","DEAD_COMPONENT","DENSE_STRUCTURE","MESSAGE_CHAIN","MESSAGE_CHAIN_imp","SHARED_PERSISTENCY","STRICT_LAYER_VIOLATION","DUPLICATION","HUB_LIKE_MODULARIZATION","WEAKEND_MODULARITY","DOCUMENTATION","LAZY_COMPONENT","CHATTY_SERVICE_ns","CHATTY_SERVICE_imp_ns","CYCLIC_DEPENDENCY_ns","CYCLIC_DEPENDENCY_imp_ns","DATA_SERVICE_ns","DATA_SERVICE_imp_ns","DEAD_COMPONENT_ns","DENSE_STRUCTURE_ns","MESSAGE_CHAIN_ns","MESSAGE_CHAIN_imp_ns","SHARED_PERSISTENCY_ns","STRICT_LAYER_VIOLATION_ns","DUPLICATION_ns","HUB_LIKE_MODULARIZATION_ns","WEAKEND_MODULARITY_ns","DOCUMENTATION_ns","LAZY_COMPONENT_ns","nodes","edges","file_size_bytes"
"33 integration of bouded contexts through enterprise service bus_transformed.graphml","0","0","0","1","1","0","0","0","1","0","0","0","0","1","0","1","1","0","9144500","1159000","9169600","9280100","9262100","1290500","8997900","9012300","9259000","1278300","8986200","9117400","19251700","553529400","559689400","8937100","8776700","55","106","210322"
"33 integration of bouded contexts through message queue_transformed.graphml","0","0","0","1","1","0","0","0","1","0","0","0","0","1","0","1","1","0","8939700","1182500","8931700","9199200","9020700","1106000","8786300","8948200","8915200","1140300","8753600","8858600","19209300","522783600","526312500","8817400","8837200","54","107","210520"
"4 assertions_transformed.graphml","0","0","0","0","1","0","0","0","1","0","0","0","0","1","0","0","1","0","8787100","1043200","8832300","8993800","8899800","838800","8619900","8757500","8630700","1032100","8640300","8644700","16780500","103679200","101675300","8832900","8887800","8","11","27207"
"4 Decorator v1_transformed.graphml","0","0","0","0","1","0","0","1","1","0","0","0","0","1","1","1","0","0","8783600","902100","8682700","8811800","8595900","813100","8694500","8784100","8698800","871800","8588000","8599400","17692000","341813900","365148600","8908000","8877300","32","43","100320"
"4 entities_transformed.graphml","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","1","0","0","8814000","875900","8648700","8644100","8644300","911700","8651800","8823400","8978200","937800","8604800","8607800","17980400","263539900","287020300","8696500","8675000","21","25","62402"
"4 highlighted core_transformed.graphml","0","0","0","1","1","0","0","0","1","0","0","0","0","1","0","1","0","0","8812800","1020700","8903200","9065600","8794600","902700","8584300","8684300","8630300","923600","8616300","8658500","17261800","132946500","132991500","8751000","8685200","16","36","68554"
"4 Iterator v1_transformed.graphml","0","0","0","1","1","0","0","0","1","0","0","0","0","1","1","1","0","0","8735300","880100","8854600","9076200","9116300","873000","8631400","11448100","8850600","896400","8608500","8654700","17523800","536137600","536384600","8753500","8684600","44","73","153847"
"4 knowledge level_transformed.graphml","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8725400","947100","9843300","8598300","8572600","844500","8565500","8683200","8939200","902900","8599400","8615400","16596900","8726900","8914600","8781300","8621400","0","0","1329"
"4 Prototype v1_transformed.graphml","0","0","0","0","1","0","0","0","1","0","0","0","0","1","1","1","0","0","9152800","919000","8620700","8966100","8683400","840400","8654600","8750200","8758400","908700","8601500","8632100","17294600","225869400","258543000","8775200","8630300","21","31","69517"
"4 Referring to Objects_transformed.graphml","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","8882500","909100","8598600","8690900","8650500","892500","8693300","8798500","8750400","871100","8598500","8606600","18015200","40551000","40228900","8727700","8647800","29","13","58573"
"4 shared kernel_transformed.graphml","0","0","0","1","1","0","0","1","1","0","0","0","0","1","1","1","0","0","8828100","869500","8785700","9264500","8650900","815800","9062500","8673800","8674900","1035800","8732500","8632600","19333300","225820000","241929900","8755600","8737000","47","49","126676"
"4 specification_transformed.graphml","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8752100","938600","8544700","8616200","8599100","822900","8536300","8673300","8777800","948900","8633100","8559500","16512800","8707300","8714500","8612900","8649000","0","0","1329"
"5 cohesive mechanisms_transformed.graphml","0","0","0","1","1","0","0","0","1","0","0","0","0","1","1","1","0","0","8816200","913900","8808100","8850900","8752500","858000","8556400","9586000","8741400","961400","8651800","8672500","16987300","125230800","132916200","8779400","8708400","16","34","66131"
"5 conceptual contours_transformed.graphml","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8756700","930600","8590300","8602700","8586500","894900","8636600","8680200","8709100","899000","8639400","8639400","16506900","8744400","8794600","8837300","10565600","0","0","1329"
"5 customer-supplier teams_transformed.graphml","0","0","0","1","1","0","0","0","1","0","0","0","0","1","0","1","0","0","9045200","987800","8872400","9012700","8740000","873900","8596700","8843200","8843200","990900","8674900","8674600","17127900","186958700","210639700","8732900","8686100","20","44","84001"
"5 dependency Inversion_transformed.graphml","0","0","0","0","1","0","0","0","1","0","0","0","0","1","0","0","0","0","8868900","983700","8846100","9385200","8721800","843300","8597100","8642900","8616900","876400","8585000","8658200","17556300","8888500","8747000","8664200","8859000","30","48","103570"
"5 Facade v1_transformed.graphml","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","8827600","970100","8600600","8658000","8660100","813900","8919300","8721300","8687500","892500","8589300","8611300","16904800","117067300","117479800","8945600","8832400","14","12","36718"
"5 Inventory and Accounting_transformed.graphml","0","0","0","1","1","0","0","1","0","0","0","0","0","1","1","1","1","0","8993500","904100","9052200","9461900","8930900","927700","9265800","9334400","8952600","1067300","8886900","8824200","77440900","410349600","415921400","8847900","8776100","192","93","391511"
"5 Mediator v1_transformed.graphml","0","0","0","1","1","0","0","0","1","0","0","0","0","1","1","1","0","0","8875100","1001800","8956300","9418000","8886100","1065900","8822600","9066000","8692600","919200","8600400","8648700","17104400","334642900","334316900","8849100","8785200","26","45","94084"
"5 pluggable component framework_transformed.graphml","0","0","0","1","1","1","1","0","1","0","0","0","0","1","0","1","0","0","8994900","998600","8763300","9035100","9169000","1434900","8836400","8778700","8653400","965700","8594900","8610000","17375300","179584600","195148200","8904900","8662100","31","51","111737"
"5 Singleton v1_transformed.graphml","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","0","8788400","880700","8582000","9047000","8666900","859200","8542000","8896900","8717800","887100","8826100","8682000","16614700","104121300","101747500","8753200","8667800","8","14","30470"
"5 value-objects_transformed.graphml","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","1","0","0","8905000","891200","8752500","9039700","8645900","857300","8769800","8903300","8774100","909100","8766000","8729000","17371500","302990900","335734500","8772700","8675000","26","30","75742"
"6 Archisurance_transformed.graphml","0","0","0","1","1","0","0","1","1","0","0","0","0","1","1","1","0","0","8893800","1031400","9023900","11217900","8939600","1079300","9008300","8804400","8737000","1025800","8835700","8789900","20016200","643773000","660212400","8826600","8731800","155","157","407695"
"6 conformist_transformed.graphml","0","0","0","1","1","0","0","0","1","0","0","0","0","1","0","0","0","0","8733900","852300","9420000","8956800","8664300","810000","8571600","8659300","8578700","851100","8565400","8607700","17162500","163716200","163595000","8771900","8653400","17","40","75026"
"6 domain services_transformed.graphml","0","0","0","1","1","0","0","1","1","0","0","0","0","1","0","0","0","0","8840600","1223800","8748000","9333200","8876300","1033000","8617400","8783800","9131700","1100600","8675500","8662500","16727400","8851000","8750400","8791100","8652200","12","12","34408"
"6 event sourcing_transformed.graphml","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8826900","917300","8609700","8723800","8712700","811100","8679600","8724000","8609500","822800","8580700","8674700","16687600","8834700","8909200","10335600","8726700","0","0","1329"
"6 Flyweight v1_transformed.graphml","0","0","0","0","1","0","0","0","1","0","0","0","0","1","1","1","0","0","8840900","864100","8685400","9044100","8898300","958000","8927200","8955600","8741100","886400","8562400","8622600","17276500","357653800","411199400","8709300","8688500","34","46","106900"
